城市,景点名称,景点类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度
沈阳市,桃仙网红墙,风景名胜,全年,4.3,免费,2-3小时,辽宁百汇租车(沈阳机场店)东侧100米,123.511821,41.654297
沈阳市,怀远门,风景名胜,全年,4.6,免费,2-3小时,沈阳路2号(怀远门地铁站B口步行100米),123.448799,41.797754
沈阳市,中山公园(和平南大街),风景名胜,全年,4.7,免费,2-3小时,南京南街7号(太原街地铁站C口步行260米),123.406180,41.785505
沈阳市,老北市室内民国老街,风景名胜,全年,4.2,免费,2-3小时,北市场街道皇寺路99-1号,123.425653,41.806546
沈阳市,中山广场,风景名胜,全年,4.6,免费,2-3小时,中山广场与北四马路交叉口西50米,123.410563,41.796968
沈阳市,万泉公园,风景名胜,全年,4.7,免费,2-3小时,万泉街1号,123.474879,41.789984
沈阳市,劳动公园,风景名胜,全年,4.3,免费,2-3小时,雪柳街与青松路交叉口东北,123.348361,41.669937
沈阳市,皇姑北塔公园,风景名胜,全年,4.7,免费,2-3小时,崇山东路21-20,123.451047,41.828352
沈阳市,沈阳市人民广场,风景名胜,全年,4.5,免费,2-3小时,青年大街1号(人民广场地铁站D口步行80米),123.434043,41.804654
沈阳市,八一公园,风景名胜,全年,4.5,免费,2-3小时,三纬路18号,123.424566,41.802352
沈阳市,清昭陵,风景名胜,全年,4.4,免费,2-3小时,北塔街道泰山路12号北陵公园内,123.427580,41.851292
沈阳市,方型广场,风景名胜,全年,4.3,免费,2-3小时,南五马路,123.416212,41.774811
沈阳市,沈阳市东陵公园,风景名胜,全年,4.7,免费,2-3小时,古井路与G1501沈阳绕城高速交叉口东陵路210号(东陵路),123.592798,41.839119
沈阳市,万柳塘公园,风景名胜,全年,4.5,免费,2-3小时,先农坛路17巷,123.465053,41.780738
沈阳市,百鸟公园,风景名胜,全年,4.5,免费,2-3小时,崇山中路66号辽宁大学对面(近宁山路)百鸟园附近,123.402344,41.829651
沈阳市,沈阳鸟岛,风景名胜,全年,4.7,免费,2-3小时,东陵路195号(近东陵公园),123.606705,41.826236
沈阳市,碧霞宫,风景名胜,全年,4.2,免费,2-3小时,白塔街道沈营大街799号,123.421425,41.665139
沈阳市,护国法轮寺,风景名胜,全年,4.6,免费,2-3小时,北塔街27号,123.451361,41.830270
沈阳市,浑河西峡谷生态公园,风景名胜,全年,4.7,免费,2-3小时,[],123.231329,41.688390
沈阳市,北塔,风景名胜,全年,4.5,免费,2-3小时,北塔街27号,123.451862,41.830529
沈阳市,荷花池,风景名胜,全年,4.3,免费,2-3小时,智慧二街276号附近,123.457087,41.660091
沈阳市,和平广场,风景名胜,全年,4.4,免费,2-3小时,新兴街11号,123.404306,41.778447
沈阳市,新华广场,风景名胜,全年,4.3,免费,2-3小时,南京南街150号,123.394242,41.776405
沈阳市,瀋阳蓬瀛宫道院,风景名胜,全年,4.3,免费,2-3小时,南塔街97号蓬瀛宫,123.451908,41.765773
沈阳市,兴华公园,风景名胜,全年,4.3,免费,2-3小时,兴华南街(兴华公园地铁站D1口步行330米),123.364044,41.787896
沈阳市,黎明广场,风景名胜,全年,4.3,免费,2-3小时,和睦路53-1号(黎明广场地铁站B口旁),123.503485,41.808387
沈阳市,科普公园,风景名胜,全年,4.4,免费,2-3小时,五里河街道五爱街52号(近文体东路),123.439919,41.761821
沈阳市,南塔公园,风景名胜,全年,4.4,免费,2-3小时,文萃路(近文萃苑),123.453310,41.765830
沈阳市,沈阳植物园(沈阳世博园),风景名胜,全年,4.7,免费,2-3小时,双园路301号,123.649192,41.862330
沈阳市,马耳山风景区,风景名胜,全年,4.5,免费,2-3小时,姚千街道马耳山生态旅游区,123.583142,41.511459
沈阳市,浑南新城中央公园-水秀湖广场,风景名胜,全年,3.9,免费,2-3小时,白塔河二路,123.456169,41.695921
沈阳市,皇寺,风景名胜,全年,4.4,免费,2-3小时,皇寺路206号,123.427846,41.807182
沈阳市,塔北城市公园,风景名胜,全年,4.1,免费,2-3小时,沈营大街71-1号,123.428269,41.703597
沈阳市,浑河堡教堂,风景名胜,全年,4.3,免费,2-3小时,金帆西路8号,123.441204,41.722231
沈阳市,仙女湖公园,风景名胜,全年,4.4,免费,2-3小时,沈辽西路17号,123.336740,41.777497
沈阳市,英国汇丰银行奉天支行旧址,风景名胜,全年,4.3,免费,2-3小时,十一纬路102号(南市场地铁站B口步行250米),123.423199,41.790428
沈阳市,周恩来同志少年读书旧址,风景名胜,全年,3.7,免费,2-3小时,大东路育才巷10号,123.466047,41.794961
沈阳市,浑河晚渡公园,风景名胜,全年,4.4,免费,2-3小时,城东湖街道阳光路20号,123.355262,41.746867
沈阳市,水生岛,风景名胜,全年,4.1,免费,2-3小时,智慧二街与创新路交叉口东北240米,123.455847,41.658609
沈阳市,鲁迅公园,风景名胜,全年,4.3,免费,2-3小时,西滨河路6号,123.421485,41.779172
沈阳市,罗士圈生态公园,风景名胜,全年,4.3,免费,2-3小时,浑河湾街道沈水湾街道玉屏二路钓鱼台七号南门对面,123.387567,41.757471
沈阳市,喜园婚礼文化主题公园,风景名胜,全年,4.4,免费,2-3小时,观泉路112-1w号,123.494003,41.848798
沈阳市,白清寨滑雪场,体育休闲服务,全年,4.3,免费,2-3小时,白清寨广福路69-1号,123.720571,41.575620
沈阳市,克俭公园,风景名胜,全年,4.3,免费,2-3小时,阿里山路8号,123.404955,41.809798
沈阳市,富民园,风景名胜,全年,3.9,免费,2-3小时,富民街15号,123.469080,41.772139
沈阳市,奥林匹克生态公园,风景名胜,全年,4.4,免费,2-3小时,五三街道南堤中路与天赐街交叉口,123.483792,41.751333
沈阳市,时代公园,风景名胜,全年,4.3,免费,2-3小时,东贸路20号,123.504354,41.818644
沈阳市,张学良旧居陈列馆-张学良将军,风景名胜,全年,4.4,免费,2-3小时,朝阳街少帅府东巷与朝阳街少帅府巷交叉口西80米,123.457994,41.793498
沈阳市,大法寺,风景名胜,全年,4.3,免费,2-3小时,八王寺街120号(近沈阳大学南门),123.461677,41.817681
沈阳市,北大营营房旧址,科教文化服务,全年,4.5,免费,2-3小时,柳林街2号,123.488878,41.843108
沈阳市,泉园广场,风景名胜,全年,4.2,免费,2-3小时,富民街15号富民园内(西侧),123.468783,41.772020
沈阳市,铁西森林公园,风景名胜,全年,4.5,免费,2-3小时,建设西路附近,123.321174,41.807708
沈阳市,沈阳南塔,风景名胜,全年,4.2,免费,2-3小时,南塔街71号,123.451769,41.766427
沈阳市,清真南寺,风景名胜,全年,4.4,免费,2-3小时,南清真路23号,123.439382,41.802508
沈阳市,护国延寿寺,风景名胜,全年,4.3,免费,2-3小时,北市场街道敦化一路55-2号西南80米,123.408653,41.805104
沈阳市,海蓝星梦幻城,风景名胜,全年,4.7,免费,2-3小时,七星大街96号,123.427404,41.910691
沈阳市,中共满洲省委旧址纪念馆,风景名胜,全年,0.0,免费,2-3小时,北市场街道皇寺路福安巷3号,123.424536,41.807734
沈阳市,沈阳郎朗钢琴广场,风景名胜,全年,4.2,免费,2-3小时,南堤西路,123.421824,41.742123
沈阳市,马耳山,风景名胜,全年,4.2,免费,2-3小时,马耳山风景区(东北角),123.589866,41.524192
沈阳市,重型文化广场,风景名胜,全年,4.2,免费,2-3小时,兴华北街8号(重型文化广场地铁站B口步行180米),123.383135,41.812914
沈阳市,华润置地创新公园,风景名胜,全年,4.1,免费,2-3小时,创新路与沈本二街交叉口东南80米,123.506903,41.676419
沈阳市,沈阳方城文化旅游区,风景名胜,全年,4.5,免费,2-3小时,皇城街道中街路钟楼南巷与钟楼南巷交叉口西南220米,123.456448,41.799017
沈阳市,圣火广场,风景名胜,全年,4.2,免费,2-3小时,五三街道五三街道朗云街,123.473579,41.740239
沈阳市,浑南新城中央公园,风景名胜,全年,4.6,免费,2-3小时,全运四路附近,123.455984,41.677606
沈阳市,西塔,风景名胜,全年,4.8,免费,2-3小时,北市场街道市府大路25号,123.408655,41.805107
沈阳市,小南教堂广场(暂停开放),风景名胜,全年,4.8,免费,2-3小时,小南街59号,123.452652,41.789837
沈阳市,长白岛森林公园,风景名胜,全年,4.7,免费,2-3小时,南堤西路附近,123.387594,41.751536
沈阳市,沈阳市铁西区劳动公园,风景名胜,全年,4.7,免费,2-3小时,肇工街南12号,123.338026,41.786106
沈阳市,天主教辽宁总教区沈阳南关主教座堂天主堂(暂停开放),风景名胜,全年,4.6,免费,2-3小时,小南街南乐郊路40号,123.452889,41.790631
沈阳市,东塔园-护国永光寺,风景名胜,全年,4.7,免费,2-3小时,东塔街2号,123.507014,41.796630
沈阳市,丁香湖公园,风景名胜,全年,4.7,免费,2-3小时,造化街道白山路,123.330932,41.848672
沈阳市,惠工广场,风景名胜,全年,4.4,免费,2-3小时,惠工街167号甲4(金融中心地铁站B口步行110米),123.440064,41.813644
沈阳市,东三省总督府(暂停开放),风景名胜,全年,4.6,免费,2-3小时,皇城街道皇城街道盛京路28号,123.457622,41.796813
沈阳市,碧塘公园,风景名胜,全年,4.5,免费,2-3小时,长江街15号,123.415552,41.820416
沈阳市,长安寺,风景名胜,全年,4.4,免费,2-3小时,皇城街道中街路268号益田假日世界,123.461637,41.803264
沈阳市,舍利塔滩地公园,风景名胜,全年,4.3,免费,2-3小时,塔湾街,123.380011,41.834023
沈阳市,龙潭荷花湖度假公园-天柱排青公园,风景名胜,全年,4.4,免费,2-3小时,东陵路天柱排青公园(东陵公园对面),123.593193,41.826794
沈阳市,沈阳市园林植物标本公园,风景名胜,全年,4.3,免费,2-3小时,南塔街道南塔西街与科普路交叉口西北150米,123.443865,41.759861
沈阳市,天后宫,风景名胜,全年,4.2,免费,2-3小时,取意街4号,123.456255,41.811310
沈阳市,和平体育公园,风景名胜,全年,4.2,免费,2-3小时,南堤西路501号,123.405240,41.757159
沈阳市,朝阳山生态文化景区,风景名胜,全年,3.9,免费,2-3小时,沙河子村,123.668287,41.725134
沈阳市,抚近门,风景名胜,全年,4.2,免费,2-3小时,东顺城街82号,123.463726,41.797381
沈阳市,盛京堂子巷,风景名胜,全年,4.2,免费,2-3小时,堂子街堂子庙巷14-3号,123.474293,41.796798
沈阳市,万科·浑南新都心公园,风景名胜,全年,4.2,免费,2-3小时,桑林街与明德路交叉口西160米,123.502974,41.702435
沈阳市,辽宁省博物馆旧址,风景名胜,全年,4.2,免费,2-3小时,十纬路与北五经街交叉口东北100米,123.421643,41.791790
沈阳市,老龙口旅游景区,风景名胜,全年,4.1,免费,2-3小时,珠林路,123.480274,41.806462
沈阳市,中国沈阳审判日本战犯法庭旧址陈列馆,风景名胜,全年,4.8,免费,2-3小时,黑龙江街77号原北陵电影院,123.435817,41.829262
沈阳市,丁香东湖公园,风景名胜,全年,4.3,免费,2-3小时,造化街道白山路丁香湖公园,123.355812,41.844585
沈阳市,沈阳体育公园,风景名胜,全年,4.2,免费,2-3小时,南三马路61号(南五马路地铁站D1口步行300米),123.402765,41.783360
沈阳市,沈阳抗美援朝烈士陵园烈士纪念馆,风景名胜,全年,0.0,免费,2-3小时,金山路50号抗美援朝烈士陵园内,123.449618,41.855312
沈阳市,沈阳龙之梦动物科普乐园,风景名胜,全年,4.3,免费,2-3小时,京东Mall北门7层,123.484038,41.805355
沈阳市,东塔园,风景名胜,全年,4.2,免费,2-3小时,东塔街道东塔街2号,123.507310,41.797019
沈阳市,望鸢台,风景名胜,全年,4.1,免费,2-3小时,苏赵线南侧,123.506550,41.653771
沈阳市,浑河滨水慢道,风景名胜,全年,4.2,免费,2-3小时,五里河街道五爱立交与九龙街交叉口东80米,123.444210,41.752133
沈阳市,建设公园,风景名胜,全年,4.2,免费,2-3小时,建设西路,123.337569,41.806181
沈阳市,长白岛森林公园-长白岛动物园,风景名胜,全年,4.3,免费,2-3小时,南堤西路,123.387414,41.751400
沈阳市,砂山基督教,风景名胜,全年,4.2,免费,2-3小时,砂山街69号,123.381807,41.763093
沈阳市,中心庙,风景名胜,全年,4.3,免费,2-3小时,中街地铁站B2口步行460米,123.456456,41.799537
沈阳市,沈阳棋盘山国际风景旅游开发区,风景名胜,全年,4.7,免费,2-3小时,满堂街道,123.663085,41.933826
沈阳市,地藏寺,风景名胜,全年,4.3,免费,2-3小时,大沟乡(三块石),123.453366,41.480357
沈阳市,花间道运动公园,风景名胜,全年,4.3,免费,2-3小时,东陵路,123.620093,41.833816
沈阳市,沈河体育公园,风景名胜,全年,4.2,免费,2-3小时,沈水东路99号,123.510621,41.767202
沈阳市,九岛湖,风景名胜,全年,4.0,免费,2-3小时,创新路与智慧二街交叉口东北160米,123.455597,41.657890
沈阳市,长青公园,风景名胜,全年,4.2,免费,2-3小时,泉园二路85号,123.479084,41.772306
沈阳市,回龙寺,风景名胜,全年,4.3,免费,2-3小时,舍利塔滩地公园内(西北角),123.379443,41.834845
沈阳市,万泉公园-赵尔巽公馆旧址,风景名胜,全年,4.3,免费,2-3小时,万莲街道万泉街1号万泉公园内(西侧),123.470258,41.790043
沈阳市,莫子山公园游乐场,风景名胜,全年,4.0,免费,2-3小时,全运五路91号莫子山公园西门云中食街1号,123.483316,41.672694
沈阳市,细河U谷,风景名胜,全年,4.4,免费,2-3小时,细河悠谷与四环路辅路交叉口东140米,123.219995,41.699713
沈阳市,和谐广场,风景名胜,全年,4.2,免费,2-3小时,黄海路60号,123.291138,41.792854
沈阳市,山门寺,风景名胜,全年,4.2,免费,2-3小时,和平南大街130号(沈水湾公园内),123.400710,41.762314
沈阳市,汗王宫遗址,风景名胜,全年,4.2,免费,2-3小时,北中街路116号中街·盛京龙城西区,123.455589,41.804200
沈阳市,沈阳天主教堂爱国会,风景名胜,全年,4.2,免费,2-3小时,小南街南乐郊路40号,123.452889,41.790631
沈阳市,王滨红枫林,风景名胜,全年,4.3,免费,2-3小时,红枫里西侧110米,123.750813,41.706342
沈阳市,基督教堂,风景名胜,全年,4.2,免费,2-3小时,学城路11号,123.512297,41.749239
沈阳市,清福陵,风景名胜,全年,4.2,免费,2-3小时,东陵路210号沈阳东陵公园,123.589376,41.834510
沈阳市,报恩寺,风景名胜,全年,4.2,免费,2-3小时,古井路与G1501沈阳绕城高速交叉口东陵路210号沈阳市东陵公园,123.594330,41.836462
沈阳市,于济川公馆,风景名胜,全年,4.2,免费,2-3小时,中山路(欧风街店),123.429000,41.800645
沈阳市,沈阳国际泵道公园,风景名胜,全年,4.3,免费,2-3小时,中德(沈阳)高端装备制造产业园细河悠谷公园内,123.219736,41.696570
沈阳市,虎石台公园,风景名胜,全年,4.4,免费,2-3小时,建设路与兴明街交叉口西南240米,123.515028,41.942174
沈阳市,大佛寺,风景名胜,全年,4.2,免费,2-3小时,大南街三段慈恩寺巷14号,123.459713,41.784544
沈阳市,陨石山森林公园,风景名胜,全年,4.1,免费,2-3小时,李相街道滑石台村,123.664844,41.611380
沈阳市,水秀湖广场,风景名胜,全年,3.9,免费,2-3小时,智慧二街莫子山路中央公园,123.455777,41.669321
沈阳市,鲁迅儿童公园,风景名胜,全年,4.2,免费,2-3小时,文艺路2号方形广场(近东北设计院),123.423449,41.776498
沈阳市,大东广场,风景名胜,全年,4.2,免费,2-3小时,大北关街36-1号,123.463848,41.818709
沈阳市,辽宁总站(不对外开放),风景名胜,全年,4.3,免费,2-3小时,总站路100号,123.426776,41.810899
沈阳市,大羊安基督教堂,风景名胜,全年,3.9,免费,2-3小时,白塔镇大羊安村,123.398029,41.650062
沈阳市,辽宁雪豹军事主题乐园(暂停开放),风景名胜,全年,4.2,免费,2-3小时,鲍佟线,123.505144,41.603933
沈阳市,皇姑屯事件发生地,风景名胜,全年,4.2,免费,2-3小时,东西快速干道辅路,123.409556,41.811749
沈阳市,沈阳森林动物园,风景名胜,全年,4.7,免费,2-3小时,棋盘山国际风景旅游区内,123.684080,41.928501
沈阳市,东陵-郊野公园,风景名胜,全年,4.2,免费,2-3小时,东陵路沈阳东陵公园(东陵公园地铁站A口步行220米),123.593075,41.829957
沈阳市,沈阳故宫广场,风景名胜,全年,4.2,免费,2-3小时,沈阳路171号,123.456834,41.796939
沈阳市,中山广场-毛泽东雕像,风景名胜,全年,4.2,免费,2-3小时,太原街街道太原街街道开封街3号巷中山广场,123.410682,41.796952
沈阳市,领事馆绿地,风景名胜,全年,4.2,免费,2-3小时,十三纬路与荣生街交叉口东南80米,123.425481,41.784860
沈阳市,沈阳劳动模范纪念馆,风景名胜,全年,0.0,免费,2-3小时,市府大路沈阳职工之家大楼内,123.442184,41.804877
沈阳市,砂山公园,风景名胜,全年,4.1,免费,2-3小时,南京南街182号(隆轩御宫),123.389266,41.770501
沈阳市,海洋之约,风景名胜,全年,4.2,免费,2-3小时,长青街77号,123.501283,41.754027
沈阳市,于洪怒江公园,风景名胜,全年,4.2,免费,2-3小时,陵西街近河巷9-1号(怒江公园地铁站D口步行220米),123.392064,41.840406
沈阳市,沈阳故宫-武功坊,风景名胜,全年,4.2,免费,2-3小时,皇城街道沈阳路171号沈阳故宫内(西南角),123.455186,41.797641
沈阳市,怡静园,风景名胜,全年,4.0,免费,2-3小时,文艺路97号,123.460390,41.774671
沈阳市,沈阳故宫观景台(暂停开放),风景名胜,全年,4.2,免费,2-3小时,盛京大家庭4层,123.454900,41.799836
沈阳市,护国广慈寺,风景名胜,全年,4.2,免费,2-3小时,南塔街71号,123.451627,41.766462
沈阳市,大东公园,风景名胜,全年,4.1,免费,2-3小时,长安路85号,123.496295,41.795624
沈阳市,五里河公园-秦开广场,风景名胜,全年,4.2,免费,2-3小时,沈水路,123.455343,41.758362
沈阳市,胡古泉,风景名胜,全年,4.0,免费,2-3小时,绿柏街,123.452315,41.529612
沈阳市,中兴文化广场,风景名胜,全年,4.2,免费,2-3小时,蕙兰五街,123.376759,41.682482
沈阳市,东塔文化广场,风景名胜,全年,4.1,免费,2-3小时,东陵街道凌云街41号,123.518417,41.803311
沈阳市,水秀湖广场-中央公园,风景名胜,全年,4.0,免费,2-3小时,水秀湖广场内(北侧),123.455984,41.670492
沈阳市,碧岚公园,风景名胜,全年,4.1,免费,2-3小时,高官台路与高官台街辅路交叉口北300米,123.530030,41.830295
沈阳市,红枫岛,风景名胜,全年,3.9,免费,2-3小时,智慧三街与创新路交叉口北380米,123.457866,41.660340
沈阳市,黄海公园,风景名胜,全年,4.1,免费,2-3小时,"洪湖南街(渤海路与洪湖南街交汇处,世代龙泽湾附近)",123.312187,41.788022
沈阳市,金山公园,风景名胜,全年,4.1,免费,2-3小时,桂花街29-57号,123.333775,41.676941
沈阳市,莫子山碉堡,风景名胜,全年,3.9,免费,2-3小时,桃仙镇创新路莫子山公园(东侧),123.486711,41.671357
沈阳市,国家地理亲子主题乐园,风景名胜,全年,4.1,免费,2-3小时,博览路2甲1号沈阳K11Selec购物艺术中心L2层,123.437225,41.749446
沈阳市,蒲河生态文化走廊(沈北新区),风景名胜,全年,4.5,免费,2-3小时,蒲河景观路,123.372701,41.925867
沈阳市,长白岛森林公园-小动物园,风景名胜,全年,4.2,免费,2-3小时,滨堤路附近长白岛森林公园(西南角),123.384763,41.749733
沈阳市,沈水幸福公园,风景名胜,全年,4.1,免费,2-3小时,沈水街道香堇街与香梨路交叉路口往南约150米,123.307480,41.684765
沈阳市,沈阳市红船主题公园,风景名胜,全年,4.2,免费,2-3小时,仙岛北路与和安街交叉口东500米,123.420462,41.735398
沈阳市,向阳古刹,风景名胜,全年,4.6,免费,2-3小时,沈阳棋盘山国际风景旅游开发区向阳寺路,123.650612,41.933095
沈阳市,永安桥,风景名胜,全年,4.2,免费,2-3小时,马三家子乡永安村,123.301629,41.866887
沈阳市,沈阳市铁西区劳动公园-南园,风景名胜,全年,4.0,免费,2-3小时,肇工街南12号沈阳市铁西区劳动公园内(南侧),123.337822,41.782642
沈阳市,民主广场,风景名胜,全年,4.1,免费,2-3小时,南二马路与兰州南街交叉口东南100米,123.398220,41.788602
沈阳市,赵一荻故居,风景名胜,全年,4.2,免费,2-3小时,皇城街道朝阳街少帅府北巷内,123.458828,41.794361
沈阳市,中德公园,风景名胜,全年,4.2,免费,2-3小时,[],123.174496,41.691983
沈阳市,麦芽岛喝酒公园,风景名胜,全年,4.3,免费,2-3小时,智慧四街龙湖云里C1栋C112,123.463959,41.690736
沈阳市,上园,风景名胜,全年,3.9,免费,2-3小时,合作街91-1号,123.479842,41.832485
沈阳市,森林湖,风景名胜,全年,3.9,免费,2-3小时,驼峰街,123.373092,41.698030
沈阳市,浑河沙滩,风景名胜,全年,4.2,免费,2-3小时,沈水路(近富民街)五里河公园(东南角),123.470389,41.755252
沈阳市,浑河观光游船,风景名胜,全年,4.2,免费,2-3小时,浑河北岸富民桥码头,123.471782,41.755198
沈阳市,沈阳基督教东关教堂,风景名胜,全年,4.0,免费,2-3小时,小东街道东顺城街三自巷8号,123.465626,41.798250
沈阳市,皇姑英雄公园,风景名胜,全年,4.1,免费,2-3小时,金山路,123.454662,41.853185
沈阳市,中山公园游乐场(动物园),风景名胜,全年,4.2,免费,2-3小时,南京南街7号中山公园内(太原街地铁站G口步行410米),123.408054,41.786110
沈阳市,沈阳水洞(暂停开放),风景名胜,全年,4.1,免费,2-3小时,白清寨乡,123.726998,41.599678
沈阳市,杨宇霆公馆旧址,风景名胜,全年,4.0,免费,2-3小时,魁星楼路6-1w号附近,123.465972,41.792711
沈阳市,日俄会战碑日本碑,风景名胜,全年,4.1,免费,2-3小时,沙河街道,123.452216,41.602625
沈阳市,东陵荷花湖冰雪大世界,风景名胜,全年,3.9,免费,2-3小时,满堂街道双园路东陵公园荷花湖,123.591547,41.826981
沈阳市,龙王庙公园,风景名胜,全年,4.1,免费,2-3小时,文体西路107号,123.404352,41.763708
沈阳市,南运河带状公园,风景名胜,全年,3.9,免费,2-3小时,风雨坛街道西滨河路28号,123.432140,41.782749
沈阳市,沈阳基督教西塔教堂,政府机构及社会团体,全年,4.1,免费,2-3小时,市府大路37号(市府大路地铁站B口步行330米),123.412867,41.804187
沈阳市,台地广场,风景名胜,全年,3.9,免费,2-3小时,龙潭荷花湖度假公园-天柱排青公园内(东侧),123.600004,41.829343
沈阳市,法雨寺,风景名胜,全年,4.2,免费,2-3小时,胡扬线附近,123.211683,41.629901
沈阳市,苏家屯区人民广场,风景名胜,全年,4.0,免费,2-3小时,翠柏路14号,123.344276,41.663810
沈阳市,莫子山公园-南山,风景名胜,全年,3.8,免费,2-3小时,莫子山公园(西南角),123.482550,41.668068
沈阳市,恩霖堂,风景名胜,全年,4.0,免费,2-3小时,沈营路31号,123.435982,41.714429
沈阳市,首创滨河公园,风景名胜,全年,3.9,免费,2-3小时,沈中大街首创光和城,123.466364,41.699177
沈阳市,周恩来少年读书旧址-纪念馆,风景名胜,全年,4.2,免费,2-3小时,大东路育才巷10号周恩来同志少年读书旧址内(南侧),123.466130,41.794571
沈阳市,浑河西峡谷生态公园-橡胶坝广场,风景名胜,全年,4.3,免费,2-3小时,西苏堡浑河特大桥浑河西峡谷生态公园(西南角),123.221332,41.682228
沈阳市,常荫槐公馆旧址,风景名胜,全年,4.2,免费,2-3小时,天后宫路万寿巷5号,123.458652,41.809601
沈阳市,后榆基督教堂,风景名胜,全年,3.7,免费,2-3小时,金帆西路50号,123.428968,41.719529
沈阳市,长青湾公园,风景名胜,全年,4.1,免费,2-3小时,金地棕榈岛西北,123.515717,41.757795
沈阳市,皇姑天主堂,风景名胜,全年,3.9,免费,2-3小时,天山路50号9门,123.392241,41.816237
沈阳市,营盘地遗址,风景名胜,全年,4.1,免费,2-3小时,营盘地遗址(沈本产业大道南),123.630479,41.532867
沈阳市,天主教辽宁(沈阳)总教区主教府公署(暂停开放),风景名胜,全年,4.3,免费,2-3小时,乐郊路19号-2甲沈阳小南主教座堂院内,123.452164,41.790980
沈阳市,三洞桥,风景名胜,全年,4.1,免费,2-3小时,胜利北街与沈大线交叉口东北20米,123.411324,41.811028
沈阳市,青铜文化园,风景名胜,全年,3.9,免费,2-3小时,仙女河北路与大通湖街交叉口北100米,123.326801,41.767000
沈阳市,扎基拉姆护法殿,风景名胜,全年,4.1,免费,2-3小时,北塔街27号护国法轮寺内(南侧),123.451219,41.829831
沈阳市,白卿宫,风景名胜,全年,4.1,免费,2-3小时,梧桐大街沈阳城市学院,123.537568,41.628210
沈阳市,皇寺广场演艺区,风景名胜,全年,4.2,免费,2-3小时,营口东路与皇寺路交叉口西100米,123.426410,41.806315
沈阳市,金地艺境河派公园,风景名胜,全年,4.2,免费,2-3小时,南堤东路金地艺境,123.563877,41.794238
沈阳市,铁西清真寺,风景名胜,全年,4.1,免费,2-3小时,重工北街63号,123.329377,41.811191
沈阳市,觉光寺,风景名胜,全年,3.9,免费,2-3小时,[],123.549937,41.678996
大连市,劳动公园,风景名胜,全年,4.7,免费,2-3小时,昆明街道解放路58号,121.634778,38.911792
大连市,中山广场,风景名胜,全年,4.8,免费,2-3小时,中山路552号(中山广场地铁站D口步行60米),121.643827,38.921549
大连市,人民广场,风景名胜,全年,4.7,免费,2-3小时,人民广场街道中山路(人民广场地铁站B口步行370米),121.615559,38.911626
大连市,五一广场,风景名胜,全年,4.4,免费,2-3小时,泰山街6号4一4,121.603655,38.917765
大连市,大连森林动物园,风景名胜,全年,4.8,免费,2-3小时,南石道街迎春路60号,121.613226,38.882789
大连市,中山公园,风景名胜,全年,4.6,免费,2-3小时,联合路62号(近广电中心),121.600783,38.912891
大连市,友好广场,风景名胜,全年,4.5,免费,2-3小时,友好路158号(近一德街)(友好广场地铁站C1口旁),121.639586,38.920234
大连市,民主广场,风景名胜,全年,4.5,免费,2-3小时,文林街15-1号,121.647971,38.926391
