日期,城市,最高气温,最低气温,天气状况,风力,降水量
2013-03-13,阜新,20,21,雪,2级,5
2013-03-14,阜新,-1,16,多云,3级,23
2013-03-15,阜新,26,3,晴,2级,98
2013-03-16,阜新,8,0,大雨,6级,23
2013-03-17,阜新,-7,24,多云,3级,6
2013-03-18,阜新,-7,15,晴,1级,74
2013-03-19,阜新,35,15,阴,5级,35
2013-03-20,阜新,28,13,雪,1级,77
2013-03-21,阜新,21,8,小雨,2级,87
2013-03-22,阜新,32,8,中雨,6级,9
2013-03-23,阜新,5,7,中雨,6级,15
2013-03-24,阜新,4,21,多云,3级,95
2013-03-25,阜新,-3,20,多云,0级,42
2013-03-26,阜新,29,-5,晴,5级,12
2013-03-27,阜新,27,5,阴,5级,32
2013-03-28,阜新,10,0,多云,5级,15
2013-03-29,阜新,1,-1,多云,2级,77
2013-03-30,阜新,7,19,晴,3级,13
2013-03-31,阜新,-5,-17,中雨,6级,56
2013-04-01,阜新,1,2,晴,4级,22
2013-04-02,阜新,2,-19,小雨,6级,53
2013-04-03,阜新,15,0,中雨,1级,57
2013-04-04,阜新,16,24,小雨,5级,88
2013-04-05,阜新,-5,-9,雪,4级,47
2013-04-06,阜新,5,22,小雨,5级,70
2013-04-07,阜新,31,-5,晴,5级,81
2013-04-08,阜新,8,2,雪,0级,75
2013-04-09,阜新,-8,25,多云,2级,72
2013-04-10,阜新,16,5,多云,4级,98
2013-04-11,阜新,20,13,大雨,2级,31
2013-04-12,阜新,-2,17,小雨,6级,96
2013-04-13,阜新,28,23,多云,5级,55
2013-04-14,阜新,18,-5,小雨,0级,100
2013-04-15,阜新,25,-4,雪,4级,27
2013-04-16,阜新,13,-12,大雨,4级,2
2013-04-17,阜新,21,-7,小雨,5级,90
2013-04-18,阜新,35,4,晴,1级,88
2013-04-19,阜新,24,7,大雨,5级,15
2013-04-20,阜新,1,-15,小雨,0级,55
2013-04-21,阜新,-1,4,多云,4级,51
2013-04-22,阜新,-2,-10,小雨,1级,5
2013-04-23,阜新,-8,-8,阴,3级,23
2013-04-24,阜新,5,-11,中雨,6级,67
2013-04-25,阜新,3,-9,小雨,2级,73
2013-04-26,阜新,13,-1,中雨,4级,98
2013-04-27,阜新,-1,-18,小雨,6级,44
2013-04-28,阜新,8,10,小雨,0级,44
2013-04-29,阜新,12,-2,晴,0级,83
2013-04-30,阜新,9,7,阴,1级,64
2013-05-01,阜新,24,1,大雨,4级,88
2013-05-02,阜新,18,23,雪,1级,54
2013-05-03,阜新,3,-2,阴,6级,36
2013-05-04,阜新,10,-4,大雨,6级,64
2013-05-05,阜新,28,2,大雨,3级,61
2013-05-06,阜新,25,-15,大雨,6级,38
2013-05-07,阜新,18,20,中雨,4级,43
2013-05-08,阜新,-9,24,小雨,6级,65
2013-05-09,阜新,21,-17,阴,2级,8
2013-05-10,阜新,9,20,多云,1级,70
2013-05-11,阜新,8,19,阴,6级,27
2013-05-12,阜新,-2,-17,大雨,2级,48
2013-05-13,阜新,-6,-19,多云,0级,39
2013-05-14,阜新,-2,-16,大雨,0级,93
2013-05-15,阜新,-5,0,中雨,5级,77
2013-05-16,阜新,16,-8,晴,5级,71
2013-05-17,阜新,-9,24,多云,3级,35
2013-05-18,阜新,-2,-3,晴,0级,1
2013-05-19,阜新,16,-5,雪,0级,38
2013-05-20,阜新,12,-20,晴,2级,44
2013-05-21,阜新,25,0,晴,4级,37
2013-05-22,阜新,18,6,小雨,4级,72
2013-05-23,阜新,34,-4,大雨,6级,72
2013-05-24,阜新,16,20,阴,6级,12
2013-05-25,阜新,-10,-20,中雨,1级,4
2013-05-26,阜新,35,13,多云,1级,38
2013-05-27,阜新,7,23,阴,4级,88
2013-05-28,阜新,13,18,大雨,0级,32
2013-05-29,阜新,22,21,阴,6级,67
2013-05-30,阜新,11,22,中雨,3级,34
2013-05-31,阜新,1,-2,小雨,6级,97
2013-06-01,阜新,20,-1,晴,3级,8
2013-06-02,阜新,2,9,晴,2级,95
2013-06-03,阜新,21,-3,小雨,6级,19
2013-06-04,阜新,7,7,大雨,0级,49
2013-06-05,阜新,21,-10,多云,2级,65
2013-06-06,阜新,6,12,晴,2级,46
2013-06-07,阜新,3,-10,小雨,5级,71
2013-06-08,阜新,21,-5,小雨,5级,56
2013-06-09,阜新,8,-12,中雨,4级,33
2013-06-10,阜新,9,-16,晴,0级,54
2013-06-11,阜新,28,-18,阴,1级,98
2013-06-12,阜新,-9,-12,大雨,0级,10
2013-06-13,阜新,18,-15,晴,0级,77
2013-06-14,阜新,29,16,中雨,0级,52
2013-06-15,阜新,27,2,小雨,2级,88
2013-06-16,阜新,4,17,雪,6级,30
2013-06-17,阜新,20,17,小雨,3级,53
2013-06-18,阜新,11,-6,大雨,5级,34
2013-06-19,阜新,-8,-2,中雨,1级,39
2013-06-20,阜新,1,-13,大雨,1级,10
2013-06-21,阜新,31,22,大雨,2级,94
2013-06-22,阜新,19,19,雪,1级,76
2013-06-23,阜新,32,0,中雨,2级,94
2013-06-24,阜新,6,20,阴,3级,4
2013-06-25,阜新,-8,-20,多云,0级,83
2013-06-26,阜新,-5,-5,中雨,1级,59
2013-06-27,阜新,13,13,雪,6级,68
2013-06-28,阜新,-8,6,中雨,3级,70
2013-06-29,阜新,20,-8,雪,2级,14
2013-06-30,阜新,29,25,中雨,3级,36
2013-07-01,阜新,-2,-20,多云,4级,71
2013-07-02,阜新,22,22,晴,2级,18
2013-07-03,阜新,7,25,小雨,5级,92
2013-07-04,阜新,20,15,多云,4级,51
2013-07-05,阜新,-2,-12,大雨,4级,94
2013-07-06,阜新,5,-14,小雨,0级,61
2013-07-07,阜新,16,-13,晴,3级,83
2013-07-08,阜新,15,8,雪,6级,96
2013-07-09,阜新,31,-18,雪,3级,46
2013-07-10,阜新,-3,5,中雨,5级,79
2013-07-11,阜新,11,1,多云,2级,50
2013-07-12,阜新,35,-10,雪,1级,29
2013-07-13,阜新,32,-4,阴,1级,34
2013-07-14,阜新,16,16,晴,2级,63
2013-07-15,阜新,23,16,小雨,2级,72
2013-07-16,阜新,-9,-6,多云,5级,85
2013-07-17,阜新,-6,7,小雨,4级,8
2013-07-18,阜新,-4,-13,小雨,1级,87
2013-07-19,阜新,15,9,大雨,4级,86
2013-07-20,阜新,9,18,雪,6级,54
2013-07-21,阜新,35,-3,雪,4级,14
2013-07-22,阜新,-2,23,大雨,3级,12
2013-07-23,阜新,18,3,小雨,2级,34
2013-07-24,阜新,20,-1,小雨,3级,58
2013-07-25,阜新,3,-9,小雨,4级,46
2013-07-26,阜新,20,-13,中雨,5级,84
2013-07-27,阜新,24,-18,小雨,2级,62
2013-07-28,阜新,10,-15,阴,3级,44
2013-07-29,阜新,32,1,中雨,3级,59
2013-07-30,阜新,16,5,小雨,6级,80
2013-07-31,阜新,35,4,多云,2级,69
2013-08-01,阜新,16,17,小雨,0级,25
2013-08-02,阜新,-2,23,大雨,4级,58
2013-08-03,阜新,22,-14,中雨,0级,52
2013-08-04,阜新,13,12,晴,0级,95
2013-08-05,阜新,27,15,多云,6级,88
2013-08-06,阜新,20,0,晴,5级,16
2013-08-07,阜新,-10,18,晴,2级,16
2013-08-08,阜新,29,5,晴,6级,4
2013-08-09,阜新,-4,-12,雪,6级,19
2013-08-10,阜新,25,-8,小雨,4级,32
2013-08-11,阜新,-9,1,晴,6级,93
2013-08-12,阜新,-3,24,多云,1级,68
2013-08-13,阜新,17,-10,晴,2级,15
2013-08-14,阜新,12,-16,中雨,2级,58
2013-08-15,阜新,7,-8,阴,5级,29
2013-08-16,阜新,-5,-18,小雨,1级,92
2013-08-17,阜新,32,24,大雨,0级,57
2013-08-18,阜新,18,-3,多云,5级,32
2013-08-19,阜新,23,-5,小雨,3级,6
2013-08-20,阜新,-7,9,晴,1级,37
2013-08-21,阜新,14,-9,小雨,3级,79
2013-08-22,阜新,33,-7,阴,2级,80
2013-08-23,阜新,23,-6,大雨,5级,15
2013-08-24,阜新,19,9,大雨,4级,42
2013-08-25,阜新,4,-11,多云,1级,83
2013-08-26,阜新,-9,-2,晴,3级,2
2013-08-27,阜新,26,15,小雨,2级,21
2013-08-28,阜新,16,-19,阴,6级,81
2013-08-29,阜新,30,21,多云,3级,53
2013-08-30,阜新,-3,12,阴,4级,51
2013-08-31,阜新,9,5,晴,5级,40
2013-09-01,阜新,34,16,大雨,2级,57
2013-09-02,阜新,13,-18,阴,3级,36
2013-09-03,阜新,29,5,小雨,2级,22
2013-09-04,阜新,30,-4,小雨,4级,89
2013-09-05,阜新,17,3,中雨,5级,48
2013-09-06,阜新,18,1,小雨,6级,45
2013-09-07,阜新,9,-2,大雨,2级,44
2013-09-08,阜新,21,18,多云,5级,99
2013-09-09,阜新,-4,-19,阴,0级,38
2013-09-10,阜新,20,14,小雨,5级,100
2013-09-11,阜新,15,-9,小雨,5级,96
2013-09-12,阜新,32,8,大雨,1级,86
2013-09-13,阜新,25,16,多云,3级,96
2013-09-14,阜新,-6,0,晴,2级,46
2013-09-15,阜新,9,-6,晴,1级,40
2013-09-16,阜新,-3,-6,雪,4级,31
2013-09-17,阜新,6,-7,雪,3级,83
2013-09-18,阜新,34,-19,阴,4级,99
2013-09-19,阜新,4,-14,阴,6级,30
2013-09-20,阜新,5,-3,多云,5级,37
2013-09-21,阜新,-4,25,中雨,1级,0
2013-09-22,阜新,26,17,阴,4级,25
2013-09-23,阜新,25,20,多云,0级,14
2013-09-24,阜新,2,23,大雨,2级,7
2013-09-25,阜新,9,-17,中雨,2级,64
2013-09-26,阜新,23,-5,小雨,3级,89
2013-09-27,阜新,16,-20,多云,3级,43
2013-09-28,阜新,1,2,晴,6级,46
2013-09-29,阜新,4,8,多云,4级,49
2013-09-30,阜新,-6,8,多云,3级,59
2013-10-01,阜新,-7,-17,多云,6级,5
2013-10-02,阜新,26,9,中雨,2级,11
2013-10-03,阜新,9,-15,多云,5级,7
2013-10-04,阜新,7,-2,晴,3级,9
2013-10-05,阜新,-5,19,晴,1级,91
2013-10-06,阜新,4,25,阴,2级,32
2013-10-07,阜新,33,2,雪,0级,86
2013-10-08,阜新,22,8,大雨,2级,98
2013-10-09,阜新,-8,4,多云,6级,26
2013-10-10,阜新,32,25,阴,2级,67
2013-10-11,阜新,3,-3,多云,3级,86
2013-10-12,阜新,19,1,阴,3级,0
2013-10-13,阜新,27,-15,小雨,6级,26
2013-10-14,阜新,4,20,阴,5级,4
2013-10-15,阜新,1,-18,中雨,0级,45
2013-10-16,阜新,34,4,阴,1级,30
2013-10-17,阜新,-4,5,小雨,6级,10
2013-10-18,阜新,21,25,多云,4级,32
2013-10-19,阜新,35,-17,多云,4级,11
2013-10-20,阜新,21,8,多云,0级,71
2013-10-21,阜新,1,-16,雪,3级,55
2013-10-22,阜新,31,21,阴,2级,87
2013-10-23,阜新,2,-20,雪,6级,11
2013-10-24,阜新,-7,-19,阴,0级,11
2013-10-25,阜新,4,-10,多云,2级,55
2013-10-26,阜新,11,19,晴,0级,75
2013-10-27,阜新,17,16,阴,2级,24
2013-10-28,阜新,24,-9,中雨,6级,74
2013-10-29,阜新,34,-16,中雨,0级,51
2013-10-30,阜新,28,12,多云,0级,68
2013-10-31,阜新,17,12,阴,0级,41
2013-11-01,阜新,-3,22,阴,5级,72
2013-11-02,阜新,11,5,大雨,4级,57
2013-11-03,阜新,-7,4,中雨,1级,38
2013-11-04,阜新,6,9,雪,0级,17
2013-11-05,阜新,18,-19,多云,6级,70
2013-11-06,阜新,-2,16,中雨,5级,64
2013-11-07,阜新,4,15,大雨,0级,82
2013-11-08,阜新,34,20,雪,1级,59
2013-11-09,阜新,22,-15,阴,0级,1
2013-11-10,阜新,24,2,晴,2级,41
2013-11-11,阜新,6,-10,中雨,0级,27
2013-11-12,阜新,6,14,小雨,4级,9
2013-11-13,阜新,10,19,大雨,6级,10
2013-11-14,阜新,1,-20,多云,5级,10
2013-11-15,阜新,5,0,小雨,3级,33
2013-11-16,阜新,7,14,多云,5级,63
2013-11-17,阜新,19,16,阴,2级,12
2013-11-18,阜新,34,-9,阴,1级,49
2013-11-19,阜新,1,-14,小雨,1级,99
2013-11-20,阜新,-6,-3,多云,3级,2
2013-11-21,阜新,-2,0,中雨,2级,57
2013-11-22,阜新,18,-11,多云,1级,11
2013-11-23,阜新,-6,10,多云,5级,53
2013-11-24,阜新,20,3,雪,1级,32
2013-11-25,阜新,0,-14,大雨,5级,99
2013-11-26,阜新,24,-12,中雨,4级,37
2013-11-27,阜新,20,14,小雨,3级,79
2013-11-28,阜新,11,19,中雨,0级,2
2013-11-29,阜新,17,14,阴,6级,42
2013-11-30,阜新,14,-1,小雨,2级,51
2013-12-01,阜新,26,20,晴,2级,50
2013-12-02,阜新,25,24,阴,1级,76
2013-12-03,阜新,-8,12,晴,4级,58
2013-12-04,阜新,20,0,阴,6级,82
2013-12-05,阜新,-1,8,阴,6级,92
2013-12-06,阜新,18,12,多云,2级,28
2013-12-07,阜新,-8,24,中雨,6级,43
2013-12-08,阜新,-8,-4,小雨,5级,89
2013-12-09,阜新,2,-20,大雨,3级,3
2013-12-10,阜新,25,13,中雨,5级,24
2013-12-11,阜新,-3,8,大雨,4级,17
2013-12-12,阜新,21,-7,大雨,2级,23
2013-12-13,阜新,6,19,中雨,6级,96
2013-12-14,阜新,31,8,小雨,5级,63
2013-12-15,阜新,24,-12,小雨,1级,26
2013-12-16,阜新,7,25,小雨,2级,54
2013-12-17,阜新,28,16,雪,6级,30
2013-12-18,阜新,29,-4,大雨,1级,56
2013-12-19,阜新,21,-14,多云,3级,95
2013-12-20,阜新,3,23,晴,2级,59
2013-12-21,阜新,15,9,阴,6级,99
2013-12-22,阜新,27,-3,多云,3级,79
2013-12-23,阜新,16,17,大雨,4级,7
2013-12-24,阜新,-8,11,晴,5级,46
2013-12-25,阜新,21,9,大雨,2级,81
2013-12-26,阜新,1,-4,小雨,1级,94
2013-12-27,阜新,24,7,中雨,6级,31
2013-12-28,阜新,10,-18,中雨,6级,53
2013-12-29,阜新,18,24,小雨,1级,81
2013-12-30,阜新,21,-11,多云,1级,67
2013-12-31,阜新,1,17,小雨,6级,58
2014-01-01,阜新,-10,-11,雪,4级,32
2014-01-02,阜新,-4,15,晴,2级,41
2014-01-03,阜新,4,-4,阴,1级,28
2014-01-04,阜新,35,-12,小雨,3级,28
2014-01-05,阜新,-2,19,晴,6级,45
2014-01-06,阜新,12,-5,大雨,5级,51
2014-01-07,阜新,33,-8,晴,3级,36
2014-01-08,阜新,18,4,小雨,6级,51
2014-01-09,阜新,4,25,大雨,3级,97
2014-01-10,阜新,-2,-2,雪,0级,34
2014-01-11,阜新,-9,20,雪,5级,94
2014-01-12,阜新,-9,-13,大雨,6级,81
2014-01-13,阜新,17,0,晴,3级,55
2014-01-14,阜新,1,1,阴,2级,44
2014-01-15,阜新,-7,7,雪,3级,13
2014-01-16,阜新,15,-19,中雨,0级,76
2014-01-17,阜新,-9,-13,多云,5级,29
2014-01-18,阜新,3,23,雪,1级,57
2014-01-19,阜新,29,14,阴,2级,53
2014-01-20,阜新,31,-2,中雨,0级,34
2014-01-21,阜新,-7,-19,大雨,0级,63
2014-01-22,阜新,15,-16,晴,4级,74
2014-01-23,阜新,1,25,多云,3级,98
2014-01-24,阜新,19,12,阴,5级,93
2014-01-25,阜新,25,20,小雨,6级,60
2014-01-26,阜新,-5,17,多云,3级,30
2014-01-27,阜新,9,-20,小雨,6级,20
2014-01-28,阜新,-9,-20,阴,2级,77
2014-01-29,阜新,-6,15,晴,0级,28
2014-01-30,阜新,23,25,晴,3级,95
2014-01-31,阜新,16,-2,小雨,0级,86
2014-02-01,阜新,-2,-11,大雨,4级,38
2014-02-02,阜新,22,-14,晴,4级,2
2014-02-03,阜新,35,-8,中雨,6级,48
2014-02-04,阜新,15,-4,大雨,1级,72
2014-02-05,阜新,-4,-9,大雨,0级,55
2014-02-06,阜新,17,23,多云,1级,87
2014-02-07,阜新,-7,-2,小雨,5级,87
2014-02-08,阜新,27,12,雪,1级,22
2014-02-09,阜新,23,10,晴,6级,28
2014-02-10,阜新,4,-3,小雨,5级,96
2014-02-11,阜新,10,-2,多云,3级,39
2014-02-12,阜新,33,-4,中雨,5级,26
2014-02-13,阜新,21,-4,多云,1级,71
2014-02-14,阜新,15,-20,小雨,6级,13
2014-02-15,阜新,17,-6,阴,0级,65
2014-02-16,阜新,-7,-19,多云,6级,41
2014-02-17,阜新,27,18,阴,1级,7
2014-02-18,阜新,-7,18,多云,6级,53
2014-02-19,阜新,-2,6,雪,0级,28
2014-02-20,阜新,-10,15,小雨,0级,33
2014-02-21,阜新,-4,13,多云,4级,73
2014-02-22,阜新,-8,14,雪,0级,67
2014-02-23,阜新,27,20,大雨,0级,7
2014-02-24,阜新,16,14,雪,0级,51
2014-02-25,阜新,12,20,多云,6级,81
2014-02-26,阜新,14,-20,阴,6级,5
2014-02-27,阜新,-1,22,雪,3级,10
2014-02-28,阜新,28,-12,多云,0级,78
2014-03-01,阜新,-9,-8,雪,6级,17
2014-03-02,阜新,10,23,多云,6级,24
2014-03-03,阜新,27,-14,中雨,3级,42
2014-03-04,阜新,-7,-2,大雨,6级,37
2014-03-05,阜新,-5,16,阴,6级,55
2014-03-06,阜新,-6,6,大雨,2级,63
2014-03-07,阜新,21,-16,雪,1级,23
2014-03-08,阜新,26,-7,阴,6级,1
2014-03-09,阜新,10,-8,小雨,1级,98
2014-03-10,阜新,13,-18,小雨,1级,15
2014-03-11,阜新,4,-14,多云,5级,48
2014-03-12,阜新,25,3,晴,1级,65
2014-03-13,阜新,17,24,多云,4级,20
2014-03-14,阜新,-4,15,小雨,2级,49
2014-03-15,阜新,13,22,多云,2级,40
2014-03-16,阜新,-8,-3,雪,2级,93
2014-03-17,阜新,34,2,阴,2级,99
2014-03-18,阜新,8,18,中雨,3级,23
2014-03-19,阜新,11,0,雪,3级,68
2014-03-20,阜新,33,-18,大雨,6级,7
2014-03-21,阜新,7,-10,大雨,4级,14
2014-03-22,阜新,18,9,晴,1级,42
2014-03-23,阜新,31,19,阴,1级,39
2014-03-24,阜新,21,-14,雪,1级,90
2014-03-25,阜新,29,21,阴,1级,71
2014-03-26,阜新,30,-9,大雨,4级,86
2014-03-27,阜新,30,-18,小雨,6级,89
2014-03-28,阜新,32,14,多云,5级,11
2014-03-29,阜新,21,11,大雨,4级,91
2014-03-30,阜新,25,8,多云,2级,61
2014-03-31,阜新,14,10,大雨,5级,2
2014-04-01,阜新,-7,8,大雨,1级,51
2014-04-02,阜新,7,20,雪,6级,30
2014-04-03,阜新,4,-19,多云,6级,12
2014-04-04,阜新,25,1,多云,4级,62
2014-04-05,阜新,28,11,雪,3级,36
2014-04-06,阜新,32,14,雪,2级,50
2014-04-07,阜新,34,0,晴,3级,78
2014-04-08,阜新,34,-2,大雨,4级,65
2014-04-09,阜新,-5,-14,中雨,5级,91
2014-04-10,阜新,31,19,大雨,4级,76
2014-04-11,阜新,0,21,多云,0级,58
2014-04-12,阜新,33,-9,大雨,0级,65
2014-04-13,阜新,-8,18,雪,1级,86
2014-04-14,阜新,34,12,中雨,5级,40
2014-04-15,阜新,-7,6,阴,1级,29
2014-04-16,阜新,10,-19,晴,2级,33
2014-04-17,阜新,5,-12,阴,6级,28
2014-04-18,阜新,20,2,大雨,6级,47
2014-04-19,阜新,26,-5,大雨,0级,3
2014-04-20,阜新,9,23,中雨,2级,34
2014-04-21,阜新,20,-19,雪,6级,77
2014-04-22,阜新,-5,-4,晴,5级,14
2014-04-23,阜新,12,-12,多云,5级,5
2014-04-24,阜新,15,-10,雪,4级,26
2014-04-25,阜新,18,18,阴,2级,49
2014-04-26,阜新,20,-5,中雨,5级,68
2014-04-27,阜新,17,-19,雪,5级,19
2014-04-28,阜新,-6,-1,阴,4级,1
2014-04-29,阜新,14,-10,小雨,0级,26
2014-04-30,阜新,27,14,雪,2级,28
2014-05-01,阜新,11,-5,小雨,6级,29
2014-05-02,阜新,25,23,大雨,5级,11
2014-05-03,阜新,9,7,阴,6级,19
2014-05-04,阜新,29,8,雪,5级,68
2014-05-05,阜新,11,19,晴,2级,1
2014-05-06,阜新,19,6,小雨,1级,93
2014-05-07,阜新,22,-6,大雨,1级,74
2014-05-08,阜新,29,-14,大雨,2级,25
2014-05-09,阜新,5,-19,多云,5级,99
2014-05-10,阜新,32,-2,大雨,3级,51
2014-05-11,阜新,31,-1,晴,6级,50
2014-05-12,阜新,-7,-8,阴,4级,48
2014-05-13,阜新,22,-7,阴,1级,48
2014-05-14,阜新,31,5,多云,0级,50
2014-05-15,阜新,19,3,大雨,2级,41
2014-05-16,阜新,-9,2,雪,6级,44
2014-05-17,阜新,3,19,晴,1级,88
2014-05-18,阜新,12,9,晴,1级,74
2014-05-19,阜新,24,-18,多云,1级,71
2014-05-20,阜新,24,-15,阴,6级,65
2014-05-21,阜新,-10,9,雪,6级,38
2014-05-22,阜新,-7,22,阴,4级,2
2014-05-23,阜新,4,22,小雨,5级,69
2014-05-24,阜新,27,6,阴,4级,57
2014-05-25,阜新,-8,-4,小雨,5级,30
2014-05-26,阜新,21,24,多云,2级,46
2014-05-27,阜新,35,-18,大雨,4级,49
2014-05-28,阜新,22,-17,大雨,5级,1
2014-05-29,阜新,3,-15,小雨,1级,18
2014-05-30,阜新,15,-9,晴,2级,65
2014-05-31,阜新,16,23,大雨,3级,13
2014-06-01,阜新,27,-17,雪,0级,9
2014-06-02,阜新,30,-13,多云,4级,5
2014-06-03,阜新,10,-9,雪,5级,42
2014-06-04,阜新,13,-13,小雨,6级,33
2014-06-05,阜新,-5,21,中雨,5级,31
2014-06-06,阜新,25,7,晴,0级,13
2014-06-07,阜新,-2,-15,大雨,2级,12
2014-06-08,阜新,-5,-4,晴,1级,34
2014-06-09,阜新,-6,-18,雪,6级,74
2014-06-10,阜新,30,-9,中雨,3级,43
2014-06-11,阜新,-4,-13,晴,6级,80
2014-06-12,阜新,7,-16,阴,1级,58
2014-06-13,阜新,-9,-10,晴,5级,82
2014-06-14,阜新,13,13,多云,5级,72
2014-06-15,阜新,24,16,阴,4级,59
2014-06-16,阜新,29,14,晴,2级,8
2014-06-17,阜新,29,20,晴,3级,63
2014-06-18,阜新,8,20,小雨,4级,36
2014-06-19,阜新,-7,5,中雨,1级,69
2014-06-20,阜新,20,-5,小雨,3级,95
2014-06-21,阜新,28,23,大雨,1级,9
2014-06-22,阜新,24,-1,晴,6级,31
2014-06-23,阜新,22,-3,多云,4级,14
2014-06-24,阜新,-4,-20,大雨,1级,81
2014-06-25,阜新,18,20,大雨,0级,70
2014-06-26,阜新,12,14,多云,3级,56
2014-06-27,阜新,16,-4,中雨,3级,42
2014-06-28,阜新,29,-12,阴,2级,70
2014-06-29,阜新,20,0,晴,1级,88
2014-06-30,阜新,35,3,雪,5级,28
2014-07-01,阜新,-1,7,多云,3级,74
2014-07-02,阜新,11,19,中雨,6级,35
2014-07-03,阜新,30,15,小雨,5级,38
2014-07-04,阜新,20,21,小雨,6级,40
2014-07-05,阜新,4,-18,晴,5级,25
2014-07-06,阜新,33,-12,大雨,2级,4
2014-07-07,阜新,21,-12,小雨,3级,23
2014-07-08,阜新,23,24,大雨,4级,90
2014-07-09,阜新,6,-15,晴,6级,40
2014-07-10,阜新,-9,7,雪,3级,40
2014-07-11,阜新,11,6,多云,3级,2
2014-07-12,阜新,17,12,晴,4级,15
2014-07-13,阜新,3,11,阴,6级,28
2014-07-14,阜新,35,0,多云,4级,55
2014-07-15,阜新,13,-18,多云,0级,56
2014-07-16,阜新,21,-6,阴,0级,98
2014-07-17,阜新,28,-14,晴,3级,43
2014-07-18,阜新,4,2,阴,3级,65
2014-07-19,阜新,28,3,雪,2级,67
2014-07-20,阜新,-5,-16,小雨,4级,79
2014-07-21,阜新,-2,-13,中雨,5级,46
2014-07-22,阜新,26,-2,阴,4级,16
2014-07-23,阜新,10,8,雪,3级,76
2014-07-24,阜新,-8,2,雪,3级,89
2014-07-25,阜新,35,-17,阴,0级,49
2014-07-26,阜新,27,20,雪,2级,8
2014-07-27,阜新,25,-7,雪,3级,62
2014-07-28,阜新,29,19,小雨,6级,54
2014-07-29,阜新,24,15,大雨,0级,62
2014-07-30,阜新,-3,-17,大雨,6级,70
2014-07-31,阜新,13,16,多云,0级,35
2014-08-01,阜新,22,0,中雨,1级,79
