日期,城市,最高气温,最低气温,天气状况,风力,降水量
2013-02-06,葫芦岛,21,-15,中雨,1级,66
2013-02-07,葫芦岛,8,20,多云,3级,26
2013-02-08,葫芦岛,13,1,阴,2级,41
2013-02-09,葫芦岛,23,-14,晴,1级,73
2013-02-10,葫芦岛,-1,7,小雨,6级,20
2013-02-11,葫芦岛,-9,10,阴,6级,8
2013-02-12,葫芦岛,32,15,雪,5级,29
2013-02-13,葫芦岛,22,14,大雨,5级,99
2013-02-14,葫芦岛,-9,-4,小雨,1级,85
2013-02-15,葫芦岛,11,0,小雨,4级,7
2013-02-16,葫芦岛,24,0,晴,4级,84
2013-02-17,葫芦岛,12,-16,晴,0级,66
2013-02-18,葫芦岛,18,-13,阴,3级,31
2013-02-19,葫芦岛,18,6,雪,5级,92
2013-02-20,葫芦岛,33,-14,阴,4级,87
2013-02-21,葫芦岛,30,-13,雪,6级,2
2013-02-22,葫芦岛,4,-4,阴,3级,10
2013-02-23,葫芦岛,35,24,晴,0级,1
2013-02-24,葫芦岛,7,23,多云,6级,2
2013-02-25,葫芦岛,35,-14,雪,0级,41
2013-02-26,葫芦岛,19,4,小雨,5级,37
2013-02-27,葫芦岛,22,8,雪,5级,98
2013-02-28,葫芦岛,2,-4,阴,1级,70
2013-03-01,葫芦岛,-7,12,多云,1级,15
2013-03-02,葫芦岛,20,-20,大雨,5级,47
2013-03-03,葫芦岛,-3,11,雪,0级,80
2013-03-04,葫芦岛,26,13,阴,3级,60
2013-03-05,葫芦岛,8,17,中雨,2级,50
2013-03-06,葫芦岛,0,4,大雨,5级,17
2013-03-07,葫芦岛,20,-8,中雨,2级,11
2013-03-08,葫芦岛,30,5,中雨,4级,99
2013-03-09,葫芦岛,23,8,中雨,4级,4
2013-03-10,葫芦岛,13,-10,多云,4级,31
2013-03-11,葫芦岛,8,-20,雪,4级,84
2013-03-12,葫芦岛,12,-1,多云,5级,81
2013-03-13,葫芦岛,32,16,大雨,2级,100
2013-03-14,葫芦岛,4,3,中雨,6级,12
2013-03-15,葫芦岛,1,22,小雨,1级,65
2013-03-16,葫芦岛,-6,-19,大雨,0级,76
2013-03-17,葫芦岛,18,24,小雨,4级,88
2013-03-18,葫芦岛,20,5,阴,6级,46
2013-03-19,葫芦岛,34,6,中雨,6级,32
2013-03-20,葫芦岛,-10,25,雪,3级,43
2013-03-21,葫芦岛,20,0,晴,3级,99
2013-03-22,葫芦岛,14,-20,晴,2级,69
2013-03-23,葫芦岛,5,0,阴,1级,74
2013-03-24,葫芦岛,21,2,多云,0级,17
2013-03-25,葫芦岛,23,24,雪,0级,19
2013-03-26,葫芦岛,21,5,大雨,3级,90
2013-03-27,葫芦岛,33,-6,中雨,0级,9
2013-03-28,葫芦岛,10,-20,多云,4级,81
2013-03-29,葫芦岛,12,20,大雨,5级,84
2013-03-30,葫芦岛,12,11,中雨,0级,5
2013-03-31,葫芦岛,17,19,雪,4级,44
2013-04-01,葫芦岛,-4,-20,中雨,1级,53
2013-04-02,葫芦岛,3,-7,中雨,4级,28
2013-04-03,葫芦岛,22,-19,阴,6级,30
2013-04-04,葫芦岛,16,8,晴,2级,40
2013-04-05,葫芦岛,23,-19,中雨,2级,14
2013-04-06,葫芦岛,8,-11,雪,0级,9
2013-04-07,葫芦岛,34,-18,晴,3级,19
2013-04-08,葫芦岛,9,9,雪,3级,18
2013-04-09,葫芦岛,0,-17,晴,2级,5
2013-04-10,葫芦岛,-10,11,晴,2级,54
2013-04-11,葫芦岛,34,8,晴,0级,52
2013-04-12,葫芦岛,10,3,晴,2级,93
2013-04-13,葫芦岛,3,12,雪,2级,38
2013-04-14,葫芦岛,19,-3,小雨,0级,82
2013-04-15,葫芦岛,9,22,雪,3级,98
2013-04-16,葫芦岛,25,-10,晴,2级,17
2013-04-17,葫芦岛,10,-10,中雨,6级,63
2013-04-18,葫芦岛,21,13,小雨,5级,86
2013-04-19,葫芦岛,-2,6,晴,3级,42
2013-04-20,葫芦岛,6,-9,小雨,1级,11
2013-04-21,葫芦岛,13,3,大雨,0级,13
2013-04-22,葫芦岛,15,-17,多云,1级,8
2013-04-23,葫芦岛,28,1,小雨,4级,73
2013-04-24,葫芦岛,3,5,小雨,3级,55
2013-04-25,葫芦岛,34,-16,雪,3级,63
2013-04-26,葫芦岛,28,8,阴,6级,88
2013-04-27,葫芦岛,26,10,雪,4级,75
2013-04-28,葫芦岛,13,18,阴,1级,84
2013-04-29,葫芦岛,5,1,多云,3级,47
2013-04-30,葫芦岛,18,-7,晴,3级,85
2013-05-01,葫芦岛,21,20,中雨,3级,30
2013-05-02,葫芦岛,22,6,晴,1级,12
2013-05-03,葫芦岛,-3,10,小雨,6级,72
2013-05-04,葫芦岛,23,-19,晴,0级,43
2013-05-05,葫芦岛,5,-2,大雨,6级,39
2013-05-06,葫芦岛,28,-3,大雨,5级,25
2013-05-07,葫芦岛,11,12,大雨,5级,51
2013-05-08,葫芦岛,5,18,中雨,2级,19
2013-05-09,葫芦岛,21,-5,多云,2级,79
2013-05-10,葫芦岛,32,17,晴,0级,70
2013-05-11,葫芦岛,-7,2,小雨,6级,94
2013-05-12,葫芦岛,24,-12,大雨,6级,14
2013-05-13,葫芦岛,13,-11,雪,1级,85
2013-05-14,葫芦岛,5,6,阴,1级,89
2013-05-15,葫芦岛,22,25,雪,3级,57
2013-05-16,葫芦岛,15,3,多云,3级,97
2013-05-17,葫芦岛,34,-18,阴,1级,14
2013-05-18,葫芦岛,9,-13,多云,2级,58
2013-05-19,葫芦岛,21,22,阴,5级,49
2013-05-20,葫芦岛,24,25,小雨,0级,45
2013-05-21,葫芦岛,-4,25,晴,1级,44
2013-05-22,葫芦岛,27,-5,中雨,2级,65
2013-05-23,葫芦岛,13,-2,阴,6级,3
2013-05-24,葫芦岛,7,23,雪,3级,82
2013-05-25,葫芦岛,0,15,小雨,6级,67
2013-05-26,葫芦岛,19,16,晴,4级,98
2013-05-27,葫芦岛,14,-3,雪,1级,1
2013-05-28,葫芦岛,22,16,大雨,3级,71
2013-05-29,葫芦岛,30,3,中雨,1级,13
2013-05-30,葫芦岛,12,24,雪,5级,28
2013-05-31,葫芦岛,15,22,中雨,6级,93
2013-06-01,葫芦岛,-5,-17,雪,2级,69
2013-06-02,葫芦岛,11,11,多云,2级,13
2013-06-03,葫芦岛,19,7,雪,3级,75
2013-06-04,葫芦岛,13,-13,大雨,6级,100
2013-06-05,葫芦岛,33,17,多云,5级,53
2013-06-06,葫芦岛,-7,-10,晴,6级,21
2013-06-07,葫芦岛,22,12,雪,5级,54
2013-06-08,葫芦岛,31,-3,雪,0级,21
2013-06-09,葫芦岛,0,-9,小雨,3级,7
2013-06-10,葫芦岛,28,-4,中雨,0级,43
2013-06-11,葫芦岛,20,-12,阴,6级,47
2013-06-12,葫芦岛,5,8,中雨,0级,68
2013-06-13,葫芦岛,5,-11,大雨,3级,17
2013-06-14,葫芦岛,30,-19,雪,0级,93
2013-06-15,葫芦岛,31,-15,小雨,1级,29
2013-06-16,葫芦岛,2,23,多云,3级,86
2013-06-17,葫芦岛,20,12,多云,5级,60
2013-06-18,葫芦岛,-10,6,小雨,2级,73
2013-06-19,葫芦岛,-10,3,阴,2级,42
2013-06-20,葫芦岛,-3,22,大雨,1级,45
2013-06-21,葫芦岛,25,11,小雨,6级,5
2013-06-22,葫芦岛,7,-17,小雨,4级,30
2013-06-23,葫芦岛,32,-5,多云,0级,39
2013-06-24,葫芦岛,17,-2,晴,3级,42
2013-06-25,葫芦岛,12,2,大雨,6级,43
2013-06-26,葫芦岛,-10,-1,晴,4级,48
2013-06-27,葫芦岛,24,-9,晴,2级,46
2013-06-28,葫芦岛,-3,14,晴,1级,98
2013-06-29,葫芦岛,32,-13,多云,4级,30
2013-06-30,葫芦岛,25,-8,晴,3级,19
2013-07-01,葫芦岛,3,15,雪,6级,71
2013-07-02,葫芦岛,25,-11,多云,3级,28
2013-07-03,葫芦岛,16,5,晴,2级,83
2013-07-04,葫芦岛,7,-7,雪,5级,2
2013-07-05,葫芦岛,-3,-9,雪,6级,13
2013-07-06,葫芦岛,15,6,中雨,2级,20
2013-07-07,葫芦岛,30,22,多云,5级,70
2013-07-08,葫芦岛,-4,11,小雨,2级,38
2013-07-09,葫芦岛,14,-18,阴,0级,70
2013-07-10,葫芦岛,3,17,大雨,0级,29
2013-07-11,葫芦岛,10,19,阴,3级,48
2013-07-12,葫芦岛,35,23,雪,6级,92
2013-07-13,葫芦岛,34,16,阴,0级,12
2013-07-14,葫芦岛,-9,-11,晴,0级,70
2013-07-15,葫芦岛,11,-9,阴,3级,50
2013-07-16,葫芦岛,22,17,多云,0级,50
2013-07-17,葫芦岛,29,4,阴,6级,76
2013-07-18,葫芦岛,18,-11,阴,5级,5
2013-07-19,葫芦岛,-7,21,多云,4级,53
2013-07-20,葫芦岛,-6,12,多云,4级,51
2013-07-21,葫芦岛,2,20,大雨,4级,6
2013-07-22,葫芦岛,7,-9,晴,4级,53
2013-07-23,葫芦岛,-10,-1,阴,2级,36
2013-07-24,葫芦岛,-10,-1,晴,5级,84
2013-07-25,葫芦岛,27,-12,晴,1级,3
2013-07-26,葫芦岛,-9,20,多云,2级,64
2013-07-27,葫芦岛,8,-16,雪,4级,11
2013-07-28,葫芦岛,-1,21,小雨,2级,82
2013-07-29,葫芦岛,6,18,晴,1级,92
2013-07-30,葫芦岛,17,-10,中雨,1级,46
2013-07-31,葫芦岛,14,7,小雨,0级,46
2013-08-01,葫芦岛,-3,19,雪,4级,65
2013-08-02,葫芦岛,0,-15,阴,1级,96
2013-08-03,葫芦岛,32,17,小雨,6级,49
2013-08-04,葫芦岛,1,14,中雨,0级,52
2013-08-05,葫芦岛,27,-6,大雨,5级,76
2013-08-06,葫芦岛,4,-1,中雨,5级,90
2013-08-07,葫芦岛,7,-13,雪,5级,50
2013-08-08,葫芦岛,25,-15,中雨,1级,33
2013-08-09,葫芦岛,-7,-17,中雨,4级,65
2013-08-10,葫芦岛,18,20,多云,1级,4
2013-08-11,葫芦岛,23,-7,小雨,6级,87
2013-08-12,葫芦岛,20,-11,阴,6级,67
2013-08-13,葫芦岛,1,15,阴,0级,36
2013-08-14,葫芦岛,31,0,晴,1级,100
2013-08-15,葫芦岛,-8,10,小雨,5级,71
2013-08-16,葫芦岛,4,2,雪,1级,62
2013-08-17,葫芦岛,8,-2,大雨,6级,67
2013-08-18,葫芦岛,18,19,阴,3级,76
2013-08-19,葫芦岛,15,16,阴,5级,54
2013-08-20,葫芦岛,-1,-9,雪,4级,37
2013-08-21,葫芦岛,32,-7,大雨,2级,93
2013-08-22,葫芦岛,11,-4,多云,1级,51
2013-08-23,葫芦岛,1,7,晴,3级,84
2013-08-24,葫芦岛,-8,3,中雨,1级,23
2013-08-25,葫芦岛,15,-15,大雨,4级,12
2013-08-26,葫芦岛,31,-15,雪,3级,7
2013-08-27,葫芦岛,17,2,中雨,3级,76
2013-08-28,葫芦岛,18,12,晴,5级,49
2013-08-29,葫芦岛,32,3,雪,2级,23
2013-08-30,葫芦岛,-6,21,雪,3级,34
2013-08-31,葫芦岛,11,16,小雨,2级,28
2013-09-01,葫芦岛,33,11,多云,0级,50
2013-09-02,葫芦岛,14,-10,阴,2级,99
2013-09-03,葫芦岛,-6,-12,晴,5级,82
2013-09-04,葫芦岛,-10,-2,雪,4级,35
2013-09-05,葫芦岛,31,-15,中雨,2级,22
2013-09-06,葫芦岛,10,-3,小雨,1级,34
2013-09-07,葫芦岛,0,-11,阴,1级,42
2013-09-08,葫芦岛,7,18,多云,2级,10
2013-09-09,葫芦岛,14,-16,中雨,3级,14
2013-09-10,葫芦岛,9,9,阴,0级,56
2013-09-11,葫芦岛,19,7,晴,5级,51
2013-09-12,葫芦岛,31,-16,多云,3级,63
2013-09-13,葫芦岛,1,5,雪,5级,94
2013-09-14,葫芦岛,21,-2,晴,4级,75
2013-09-15,葫芦岛,10,-18,阴,5级,70
2013-09-16,葫芦岛,-5,11,晴,3级,3
2013-09-17,葫芦岛,34,-10,雪,4级,6
2013-09-18,葫芦岛,2,-20,雪,4级,78
2013-09-19,葫芦岛,12,14,晴,6级,96
2013-09-20,葫芦岛,31,-16,雪,3级,60
2013-09-21,葫芦岛,14,7,中雨,3级,65
2013-09-22,葫芦岛,16,11,多云,4级,64
2013-09-23,葫芦岛,29,-2,大雨,2级,28
2013-09-24,葫芦岛,9,11,中雨,4级,36
2013-09-25,葫芦岛,-3,2,大雨,0级,38
2013-09-26,葫芦岛,15,-9,多云,1级,25
2013-09-27,葫芦岛,-9,19,小雨,5级,14
2013-09-28,葫芦岛,-1,-10,中雨,0级,54
2013-09-29,葫芦岛,27,9,大雨,4级,28
2013-09-30,葫芦岛,1,10,雪,0级,17
2013-10-01,葫芦岛,29,6,小雨,2级,51
2013-10-02,葫芦岛,21,8,大雨,1级,86
2013-10-03,葫芦岛,24,-4,雪,6级,53
2013-10-04,葫芦岛,-4,20,雪,0级,92
2013-10-05,葫芦岛,35,11,晴,3级,78
2013-10-06,葫芦岛,22,3,阴,6级,81
2013-10-07,葫芦岛,25,-4,小雨,5级,97
2013-10-08,葫芦岛,23,4,大雨,0级,10
2013-10-09,葫芦岛,33,24,阴,4级,87
2013-10-10,葫芦岛,-2,-11,雪,2级,61
2013-10-11,葫芦岛,20,-7,阴,2级,75
2013-10-12,葫芦岛,21,-9,雪,6级,49
2013-10-13,葫芦岛,33,-15,阴,4级,3
2013-10-14,葫芦岛,31,-10,小雨,6级,14
2013-10-15,葫芦岛,12,20,雪,0级,41
2013-10-16,葫芦岛,9,-11,中雨,1级,58
2013-10-17,葫芦岛,9,-11,阴,0级,52
2013-10-18,葫芦岛,7,25,小雨,3级,66
2013-10-19,葫芦岛,29,-17,阴,4级,15
2013-10-20,葫芦岛,28,-11,多云,4级,36
2013-10-21,葫芦岛,6,11,大雨,2级,40
2013-10-22,葫芦岛,1,16,雪,2级,1
2013-10-23,葫芦岛,5,-17,中雨,2级,47
2013-10-24,葫芦岛,-8,-9,大雨,4级,33
2013-10-25,葫芦岛,5,13,阴,2级,8
2013-10-26,葫芦岛,-5,21,晴,5级,75
2013-10-27,葫芦岛,17,-12,晴,0级,18
2013-10-28,葫芦岛,-10,-3,阴,4级,54
2013-10-29,葫芦岛,35,-7,雪,1级,65
2013-10-30,葫芦岛,15,23,多云,0级,40
2013-10-31,葫芦岛,27,9,大雨,5级,16
2013-11-01,葫芦岛,25,7,大雨,5级,55
2013-11-02,葫芦岛,-4,-2,雪,5级,76
2013-11-03,葫芦岛,19,-11,雪,4级,1
2013-11-04,葫芦岛,4,9,大雨,4级,11
2013-11-05,葫芦岛,35,4,晴,3级,3
2013-11-06,葫芦岛,-9,-18,多云,6级,97
2013-11-07,葫芦岛,24,21,雪,3级,24
2013-11-08,葫芦岛,18,3,晴,0级,9
2013-11-09,葫芦岛,31,17,大雨,1级,41
2013-11-10,葫芦岛,8,-8,阴,0级,17
2013-11-11,葫芦岛,27,8,雪,6级,58
2013-11-12,葫芦岛,-10,-2,中雨,2级,92
2013-11-13,葫芦岛,29,19,小雨,6级,69
2013-11-14,葫芦岛,13,21,中雨,0级,58
2013-11-15,葫芦岛,12,-19,阴,6级,32
2013-11-16,葫芦岛,28,-12,多云,2级,16
2013-11-17,葫芦岛,-1,17,雪,0级,29
2013-11-18,葫芦岛,-6,13,晴,0级,59
2013-11-19,葫芦岛,25,13,阴,0级,22
2013-11-20,葫芦岛,9,-19,晴,0级,26
2013-11-21,葫芦岛,-6,21,晴,6级,6
2013-11-22,葫芦岛,7,-15,阴,2级,54
2013-11-23,葫芦岛,10,-2,小雨,4级,2
2013-11-24,葫芦岛,22,21,阴,6级,45
2013-11-25,葫芦岛,-4,7,晴,5级,68
2013-11-26,葫芦岛,2,14,阴,6级,34
2013-11-27,葫芦岛,27,23,雪,3级,69
2013-11-28,葫芦岛,29,7,多云,6级,4
2013-11-29,葫芦岛,24,-17,晴,1级,8
2013-11-30,葫芦岛,32,-16,多云,3级,14
2013-12-01,葫芦岛,27,21,晴,3级,5
2013-12-02,葫芦岛,16,9,多云,3级,3
2013-12-03,葫芦岛,15,-8,晴,5级,10
2013-12-04,葫芦岛,12,22,晴,5级,80
2013-12-05,葫芦岛,9,0,晴,4级,21
2013-12-06,葫芦岛,25,21,雪,0级,95
2013-12-07,葫芦岛,21,22,大雨,3级,30
2013-12-08,葫芦岛,12,-12,中雨,3级,67
2013-12-09,葫芦岛,20,19,阴,4级,91
2013-12-10,葫芦岛,19,10,雪,0级,49
2013-12-11,葫芦岛,31,-19,雪,0级,81
2013-12-12,葫芦岛,20,20,大雨,3级,57
2013-12-13,葫芦岛,-7,25,阴,5级,74
2013-12-14,葫芦岛,-5,-17,大雨,1级,43
2013-12-15,葫芦岛,-7,-13,大雨,6级,88
2013-12-16,葫芦岛,11,-2,晴,4级,82
2013-12-17,葫芦岛,6,9,晴,0级,100
2013-12-18,葫芦岛,20,-11,晴,2级,68
2013-12-19,葫芦岛,10,-12,大雨,1级,19
2013-12-20,葫芦岛,18,15,雪,5级,0
2013-12-21,葫芦岛,-5,8,雪,0级,37
2013-12-22,葫芦岛,35,16,多云,4级,41
2013-12-23,葫芦岛,30,19,多云,5级,34
2013-12-24,葫芦岛,16,6,大雨,4级,64
2013-12-25,葫芦岛,-9,11,雪,0级,52
2013-12-26,葫芦岛,15,-14,中雨,2级,5
2013-12-27,葫芦岛,21,-1,小雨,3级,75
2013-12-28,葫芦岛,-10,-19,大雨,6级,67
2013-12-29,葫芦岛,32,-16,小雨,0级,16
2013-12-30,葫芦岛,25,-16,晴,3级,65
2013-12-31,葫芦岛,18,13,雪,1级,43
2014-01-01,葫芦岛,21,-19,晴,3级,86
2014-01-02,葫芦岛,21,18,晴,1级,90
2014-01-03,葫芦岛,26,-12,雪,0级,77
2014-01-04,葫芦岛,14,-8,小雨,6级,69
2014-01-05,葫芦岛,30,-2,中雨,1级,23
2014-01-06,葫芦岛,0,24,小雨,1级,70
2014-01-07,葫芦岛,18,-15,雪,4级,81
2014-01-08,葫芦岛,18,-8,多云,5级,36
2014-01-09,葫芦岛,3,4,小雨,3级,61
2014-01-10,葫芦岛,-5,21,晴,1级,38
2014-01-11,葫芦岛,17,-7,大雨,5级,81
2014-01-12,葫芦岛,30,-3,大雨,6级,68
2014-01-13,葫芦岛,34,23,中雨,3级,43
2014-01-14,葫芦岛,34,-6,中雨,4级,83
2014-01-15,葫芦岛,15,-1,小雨,5级,34
2014-01-16,葫芦岛,31,20,大雨,0级,3
2014-01-17,葫芦岛,-8,17,小雨,3级,88
2014-01-18,葫芦岛,10,-1,雪,2级,36
2014-01-19,葫芦岛,11,-13,中雨,3级,98
2014-01-20,葫芦岛,-8,11,大雨,4级,43
2014-01-21,葫芦岛,29,12,雪,0级,15
2014-01-22,葫芦岛,9,-18,中雨,2级,72
2014-01-23,葫芦岛,-7,-19,多云,0级,61
2014-01-24,葫芦岛,9,-8,雪,6级,20
2014-01-25,葫芦岛,19,-9,晴,3级,78
2014-01-26,葫芦岛,31,21,雪,2级,76
2014-01-27,葫芦岛,8,25,雪,5级,13
2014-01-28,葫芦岛,14,22,阴,1级,68
2014-01-29,葫芦岛,-7,-14,晴,0级,84
2014-01-30,葫芦岛,1,9,雪,1级,96
2014-01-31,葫芦岛,34,-13,大雨,4级,64
2014-02-01,葫芦岛,5,9,多云,3级,1
2014-02-02,葫芦岛,1,-12,晴,2级,25
2014-02-03,葫芦岛,23,16,晴,5级,99
2014-02-04,葫芦岛,13,-5,大雨,4级,15
2014-02-05,葫芦岛,12,-18,雪,1级,78
2014-02-06,葫芦岛,3,-16,小雨,1级,59
2014-02-07,葫芦岛,23,4,多云,5级,21
2014-02-08,葫芦岛,30,20,小雨,1级,7
2014-02-09,葫芦岛,1,9,小雨,1级,44
2014-02-10,葫芦岛,31,19,阴,5级,62
2014-02-11,葫芦岛,2,8,晴,3级,91
2014-02-12,葫芦岛,30,0,多云,6级,87
2014-02-13,葫芦岛,-7,-7,小雨,5级,58
2014-02-14,葫芦岛,33,-17,中雨,5级,69
2014-02-15,葫芦岛,26,-15,小雨,5级,12
2014-02-16,葫芦岛,3,-3,中雨,5级,22
2014-02-17,葫芦岛,-6,20,阴,5级,18
2014-02-18,葫芦岛,-4,-14,中雨,5级,81
2014-02-19,葫芦岛,29,-15,大雨,0级,79
2014-02-20,葫芦岛,28,14,雪,2级,53
2014-02-21,葫芦岛,29,-20,大雨,5级,90
2014-02-22,葫芦岛,28,6,阴,3级,71
2014-02-23,葫芦岛,14,-16,中雨,1级,92
2014-02-24,葫芦岛,15,17,中雨,4级,60
2014-02-25,葫芦岛,3,-17,雪,5级,87
2014-02-26,葫芦岛,-2,6,小雨,0级,74
2014-02-27,葫芦岛,21,-10,阴,3级,71
2014-02-28,葫芦岛,22,-7,大雨,6级,92
2014-03-01,葫芦岛,8,5,阴,3级,8
2014-03-02,葫芦岛,26,17,大雨,0级,51
2014-03-03,葫芦岛,19,22,阴,4级,46
2014-03-04,葫芦岛,13,-4,多云,1级,10
2014-03-05,葫芦岛,-5,0,阴,0级,54
2014-03-06,葫芦岛,5,14,中雨,6级,73
2014-03-07,葫芦岛,0,-4,大雨,3级,77
2014-03-08,葫芦岛,23,-14,多云,5级,25
2014-03-09,葫芦岛,9,-18,雪,4级,67
2014-03-10,葫芦岛,10,-2,多云,2级,56
2014-03-11,葫芦岛,27,8,多云,5级,29
2014-03-12,葫芦岛,4,-9,雪,5级,66
2014-03-13,葫芦岛,6,-16,小雨,2级,63
2014-03-14,葫芦岛,29,-7,多云,1级,51
2014-03-15,葫芦岛,20,21,小雨,6级,62
2014-03-16,葫芦岛,-4,10,中雨,2级,63
2014-03-17,葫芦岛,30,10,大雨,6级,91
2014-03-18,葫芦岛,7,-3,阴,4级,99
2014-03-19,葫芦岛,6,-8,小雨,1级,18
2014-03-20,葫芦岛,1,25,中雨,0级,88
2014-03-21,葫芦岛,-1,-19,雪,1级,12
2014-03-22,葫芦岛,22,6,大雨,6级,41
2014-03-23,葫芦岛,-10,-14,雪,3级,20
2014-03-24,葫芦岛,23,12,大雨,3级,95
2014-03-25,葫芦岛,10,-13,阴,5级,60
2014-03-26,葫芦岛,7,8,大雨,5级,77
2014-03-27,葫芦岛,17,1,中雨,0级,6
2014-03-28,葫芦岛,-7,15,多云,0级,49
2014-03-29,葫芦岛,-9,-6,雪,2级,52
2014-03-30,葫芦岛,3,6,雪,6级,98
2014-03-31,葫芦岛,28,-10,大雨,5级,83
2014-04-01,葫芦岛,31,-12,雪,1级,13
2014-04-02,葫芦岛,33,23,阴,5级,39
2014-04-03,葫芦岛,11,15,雪,2级,61
2014-04-04,葫芦岛,10,6,阴,4级,57
2014-04-05,葫芦岛,35,23,雪,1级,91
2014-04-06,葫芦岛,29,2,雪,3级,99
2014-04-07,葫芦岛,-1,13,大雨,4级,21
2014-04-08,葫芦岛,24,2,阴,4级,24
2014-04-09,葫芦岛,26,3,阴,4级,90
2014-04-10,葫芦岛,21,14,雪,1级,87
2014-04-11,葫芦岛,13,2,晴,0级,67
2014-04-12,葫芦岛,21,12,大雨,4级,55
2014-04-13,葫芦岛,4,11,晴,6级,71
2014-04-14,葫芦岛,-6,22,中雨,1级,0
2014-04-15,葫芦岛,14,24,晴,1级,73
2014-04-16,葫芦岛,6,-11,中雨,4级,72
2014-04-17,葫芦岛,30,-17,大雨,2级,31
2014-04-18,葫芦岛,14,-20,大雨,3级,30
2014-04-19,葫芦岛,26,-10,中雨,1级,10
2014-04-20,葫芦岛,14,-20,晴,2级,86
2014-04-21,葫芦岛,23,24,雪,2级,0
2014-04-22,葫芦岛,8,17,阴,2级,76
2014-04-23,葫芦岛,-8,-1,大雨,3级,45
2014-04-24,葫芦岛,-3,6,晴,3级,11
2014-04-25,葫芦岛,9,-7,雪,6级,6
2014-04-26,葫芦岛,23,-12,多云,2级,31
2014-04-27,葫芦岛,26,1,大雨,3级,25
2014-04-28,葫芦岛,25,22,大雨,4级,20
2014-04-29,葫芦岛,-9,-6,中雨,5级,78
2014-04-30,葫芦岛,13,2,雪,2级,98
2014-05-01,葫芦岛,22,-17,阴,3级,59
2014-05-02,葫芦岛,-10,-19,多云,3级,96
2014-05-03,葫芦岛,0,-3,大雨,5级,43
2014-05-04,葫芦岛,-9,11,小雨,6级,81
2014-05-05,葫芦岛,1,-4,晴,0级,14
2014-05-06,葫芦岛,30,-8,晴,5级,40
2014-05-07,葫芦岛,-6,-17,中雨,4级,24
2014-05-08,葫芦岛,-8,-12,中雨,2级,77
2014-05-09,葫芦岛,25,-9,阴,2级,12
2014-05-10,葫芦岛,27,5,中雨,4级,61
2014-05-11,葫芦岛,-2,9,阴,6级,59
2014-05-12,葫芦岛,31,-10,阴,1级,21
2014-05-13,葫芦岛,11,-19,晴,4级,65
2014-05-14,葫芦岛,18,-5,小雨,6级,83
2014-05-15,葫芦岛,26,-15,多云,3级,52
2014-05-16,葫芦岛,17,14,晴,2级,56
2014-05-17,葫芦岛,5,-6,阴,1级,90
2014-05-18,葫芦岛,10,-18,晴,4级,37
2014-05-19,葫芦岛,6,19,小雨,0级,97
2014-05-20,葫芦岛,10,-3,大雨,0级,26
2014-05-21,葫芦岛,12,-20,大雨,1级,5
2014-05-22,葫芦岛,-8,-20,阴,1级,29
2014-05-23,葫芦岛,29,-6,大雨,5级,59
2014-05-24,葫芦岛,7,-9,中雨,3级,44
2014-05-25,葫芦岛,-7,-16,晴,6级,72
2014-05-26,葫芦岛,-3,6,大雨,4级,25
2014-05-27,葫芦岛,23,18,晴,3级,85
2014-05-28,葫芦岛,20,-20,大雨,4级,83
2014-05-29,葫芦岛,24,-12,晴,0级,17
2014-05-30,葫芦岛,14,-18,晴,3级,22
